Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,1994,2031900379.68,n.d.,62850498.29,2044262.90,2044262.90,n.d.,n.d.,n.d.,n.d.,n.d.,60806235.39,45121006.63,13583857.98,2101370.77,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.1,n.d.,n.d.,10.9,n.d.,n.d.,7119.15,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,1994,110930213.68,n.d.,3313277.29,777439.89,777439.89,n.d.,n.d.,n.d.,n.d.,n.d.,2535837.40,2110164.38,425673.02,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.0,n.d.,n.d.,16.1,n.d.,n.d.,2301.45,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,1994,284141605.33,n.d.,6278546.53,703686.96,703686.96,n.d.,n.d.,n.d.,n.d.,n.d.,5574859.57,4748472.95,504246.89,322139.73,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.2,n.d.,n.d.,19.6,n.d.,n.d.,1284.20,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,1994,158236300.14,n.d.,3950948.02,1171228.53,1171228.53,n.d.,n.d.,n.d.,n.d.,n.d.,2779719.49,2308106.79,471612.69,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.5,n.d.,n.d.,12.6,n.d.,n.d.,1264.32,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,1994,124979607.01,n.d.,3306064.81,981142.13,981142.13,n.d.,n.d.,n.d.,n.d.,n.d.,2324922.67,1945891.53,261706.62,117324.52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.6,n.d.,n.d.,9.5,n.d.,n.d.,1444.60,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,1994,556113067.35,n.d.,13460335.50,1116918.41,1116918.41,n.d.,n.d.,n.d.,n.d.,n.d.,12343417.09,11701025.18,590091.26,52300.64,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,27.0,n.d.,n.d.,2199.91,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,1994,869181558.77,n.d.,14848237.27,2778095.34,2778095.34,n.d.,n.d.,n.d.,n.d.,n.d.,12070141.93,11601809.47,457768.01,10564.45,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.7,n.d.,n.d.,20.3,n.d.,n.d.,1313.98,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,1994,200554634.08,n.d.,4916041.68,1304896.88,1304896.88,n.d.,n.d.,n.d.,n.d.,n.d.,3611144.81,3087586.16,523558.64,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.5,n.d.,n.d.,15.0,n.d.,n.d.,1198.88,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,1994,123272056.17,n.d.,2909508.40,436214.65,436214.65,n.d.,n.d.,n.d.,n.d.,n.d.,2473293.75,2137535.58,335758.17,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,19.2,n.d.,n.d.,1948.09,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,1994,55680578.43,n.d.,2211397.39,482391.65,482391.65,n.d.,n.d.,n.d.,n.d.,n.d.,1729005.74,1483189.15,245816.59,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.0,n.d.,n.d.,11.5,n.d.,n.d.,2476.11,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
